itemId,supplierId,Cost Price,Supplier SKU
3f7b693d-e94a-4f2e-baf2-a3babd482a16,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,14.58,18-C-7962
9288352e-eddc-4a56-b0ea-f2cb7ec1cf4b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,31.25,18-C-7963
7c616994-ee7a-43c1-8530-056199cdae0f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,18-C-7970
9f738f95-d834-400d-b5f6-42516527b422,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-007-C
0be15231-bdd1-4f85-8f35-877254d6e900,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-013-BO
5043e2cd-5796-4ade-a7f1-32f3a906dbf5,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-015-BO
35346bd9-99de-4cdd-90f6-047cc3e0e0fe,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-016-BO
99ad69d6-b03e-4141-a991-313d616ec018,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,40,0
58797323-a754-40b3-a0f2-2acf8765c43b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-022-C
aa17ad65-3aae-429a-8d81-15f4ae6bd25f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-023-C
34425f5f-537b-4e31-94b6-0a5a493d2576,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-024-C
2ea85813-562b-42cd-9358-ac4d9ee4618e,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-030-C
0e0153d1-5431-49d8-bbe6-1b6fe15bc02b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-034-C
19592b0f-3b06-4b78-8530-162fda80fba5,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,13.33,30-037-C
67464cce-7bfe-41ce-9418-e6d7d9d9b2c5,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,23.33,30-039-BZ-C
205a3780-cd84-4e08-a4c3-c240605cc3eb,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,23.33,30-039-C
b676dfda-6ddb-4fb5-b59e-22a3c8ba282c,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-044-GY-C
8cddcb46-4c77-4244-ba51-db89eb6274a9,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-044-LS-C
387b87e5-4e71-4d1c-b6f0-1826256f892d,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-048-C
6c6ae33c-9b7a-4f91-88db-98403f476ba9,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-049-C
4bc730a8-ca5d-4d22-b972-4b0c12fb99aa,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-075-C
263c83a0-323f-4fc1-b14a-465368da5906,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-077-C
bf5f75d2-06b4-425f-b32b-a5f88cd7f06b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-087-K
1ebfc340-ec72-483b-bb54-cff009a8a87b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-088-K
8092fb9a-6395-4d79-9a25-89099c71954c,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-135-C
366d667c-d02a-4d29-8c1f-a6980cce363d,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,23.33,30-151-SI-C
95d5d28f-6c06-4c3b-9752-e719958cda3e,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,23.33,30-151-WH-C
349af35f-2526-4ca7-891a-a233023f34df,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,13.33,30-154-C
36bdf15b-2bdc-4e62-b447-ac9435c6e5e5,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-175-BO
719aeb11-5e4c-463b-868c-8f085e977234,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,63.33,30-236-K
59d77c32-8996-426e-b7f5-6bf689c6ecbb,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-237-C
cc4ffab4-958d-4408-802f-64baab590415,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,43.33,30-242-K
6f0a3d2e-9d95-4ffe-b2b7-7b8ce019ba46,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-249-BO
5bc7d872-80cd-40c0-a6f5-8aac792e7b55,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-265-BO
80f209db-8c17-4d79-a3b5-0abd69fbeb5c,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-266-BO
333c5092-72fc-40c0-97ce-c339687a7aaa,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-279-K
50a1642d-bde8-4350-ad56-e73c8a9c130b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-291-C
611b4ab5-b3cb-42b5-8751-b6ffa69e336f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-292-C
1521e31b-02b5-457e-b0e5-0567e1cbe439,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-298-C
164af900-94dd-4d95-a1f5-b045235211d9,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-300-C
09163863-124d-4ef7-bd70-9791e51dfb38,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-302-C
76c36684-2662-40b6-80be-89b9e526f70b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-351-BO
2bfb7d6c-24b2-463b-b52b-1d021bdf73a1,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,18.33,30-362-BO
20b8cd2c-d5f9-4048-9acf-5a8f423164c9,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,18.33,30-363-BO
123d9a49-ad62-4927-a6f1-18309381b8d8,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-378-C
2b8255f4-3a9f-4797-a400-bde257797487,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-380-C
54ed9d9a-4926-4afd-8315-00d30c44b097,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-382-C
5fd7d911-d4b2-434a-b80b-547e37c57dd0,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-383-C
038e062e-df56-496c-8f10-4b9cc8a173c1,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-384-C
0224c73a-fdfd-4be8-81e7-340315e43351,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,30-393-C
49bfde6f-a7ba-46e1-892f-f0a8afa71024,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-398-BO
5838b66c-ffd3-48ec-9924-d693138dd0b0,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-400-BO
b245346d-e49b-4a0d-9159-9d67d60d2a3e,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-401-BO
638c68b6-191f-49ba-b930-17a0058fa9f4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-403-BO
6c2c108f-60dd-4f7c-b1ec-55c28795d5c4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-410-C
205ae09c-928e-482d-b56c-e2c8c4975b44,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-412-C
6b4af24c-d9e4-432d-8b37-66bb3dbd00a4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-418-C
5bd7f615-7c63-4b34-a071-70b36ef2eb80,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-424-K
0fcce068-fff8-4dba-9411-38dd700bc699,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-426-K
2d3c19dd-f6ff-416d-9064-59e83d08a2a7,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,60,30-427-K
6219279d-0816-44a9-96f6-3ef329a9684a,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-434-K
1c77602a-3781-494c-a4f6-5fb99f56a1c5,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-437-C
825febaf-c629-42f7-8550-f121f73b42d6,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-438-BO
2c8d5c8f-b3a2-4226-b2bf-4b716a7ededd,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,25,30-461-BO
cccfb936-536f-409c-aada-30737742b52f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-462-BO
675e79e4-a55c-4964-a3f6-5a3b9e950221,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20,30-464-BO
8ec8ce21-7d22-49c5-ab94-46b0b144eb49,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,28.33,30-467-BO
47dcd472-dc48-4490-a99d-60e056c62e34,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,43.33,30-472-BO
452c749e-838b-4031-a3a0-f42ca852a460,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-473-C
