,itemId,variantIds
FW01,854f508c-7790-4969-99bc-cd4e01b49414,"792f3fc6-8b9b-43e6-826d-7d1597d2c906, 49c7fdef-5065-4770-ba7a-43a212280dd1, e122870f-0637-4eee-88e7-353322469263, 91fc1ac9-91cd-4597-9806-c570eda3023c, 6c6583fa-d755-4e62-9d19-6910be4cb47d, 036b937e-4d32-4d8c-b928-9347b544ce6c, 80b64e4c-f786-44c2-b79b-99aba63abe5b, e04952d2-10d8-4b4a-884b-88fc11a52b9b, 9c707c4e-f0ba-4e90-a583-d32ff1c118e3, c743d6ed-2014-4a66-b354-a51f7773e5d4, ea7d35d4-a670-41e2-9051-d6bb10a68e92, 13a9584e-15b7-4a04-a28f-dd1f8acac357"
FW02,fafc55d5-f20a-434c-af29-3928037ce365,"85322d6b-9988-4db9-b493-54f021340a7f, 7d61f56a-0835-4a22-87fd-1702281e67da, 83e77350-6706-4938-8b15-6eb17cc611ce, a9912e93-5a79-4eb3-8988-80a64884afba, 7902849d-132c-4221-a991-945de876cfbe, 2b8d861b-ac5b-4e80-a00f-46e622d05b7e, 0861c169-2a2d-4a59-b355-c94e2c6c3afa, c1287b95-de9e-4bce-a653-de38459dc979, dc52e360-3e25-42c4-a75f-d3ffe718fd45, 8dcc0d15-3bed-4f75-ab3e-b3ebfbd7fcb7, d7094950-e32c-48cb-82ed-23cdc48defc5, 0c9f8563-f582-4f92-ac0d-54f18214eaea, a66dc127-fd9d-4f92-8ef3-d5a5e02af6a3, 3d532c97-3716-498c-82cf-15c57a8967c8, 84160563-f63c-49c6-8fdc-150a773203e8, f6a66234-4be2-4afd-b9b7-d1e4331ce525, 4073e8c4-a4d7-4bcf-a1c3-9de164fc8af4, 1d7d00bd-b7a4-4e92-a16a-69cf6a000257, fbf1d367-bfe1-4e3b-84be-b650c6a820c0, ab623a20-929d-41e4-b6d0-222370091cc3, 2399dfcb-c93a-439b-8a8d-605e408a76f8, 240e7254-c1de-4ff6-8838-f223ead79334"
FW10,53b0ef59-df25-4fc0-81df-112adda9427d,"04df1b22-c007-4077-88b2-210ba7172528, 63aba712-284a-4119-80a3-acf26f57364a, 22ecfc21-3a71-417a-836d-ae14c68af88d, 8f77c244-a1eb-4983-9010-469a83f5a2e2, 4e91139c-49db-4e25-b5d3-b4e92ab47943, 6d8ac71a-ca4e-41c3-bd29-ffcf02e22cb5, ee2c1037-aee2-48c0-97b0-684376b41f54, c4c7155e-f0c3-4b81-be40-7e8eb9325ee3, 3a0e80f6-30f5-4e95-894b-c8f8293ae7f0, 3edbc855-f2e6-4010-a149-d2a28cac7448, 2ec19ec6-caf9-43d6-851e-fe4157e6bd23, c0bdf017-5cd0-41a0-807d-01b2fa77b5e7, c4f99231-2453-4abd-bff1-f15d90bb2a41, e2f20ef1-4375-4dae-9c74-20594baf6fa4, 7b84a08c-b4fa-4a50-84a9-0c91c9c5570d, 679adeea-9e4c-4b13-b5bd-630245da645d"
FW11,6337a480-d66c-49a4-838f-461a81e383df,"6b18732e-046c-4ba2-bf59-4fe98fe5ca76, 8d329e1f-53f0-4170-a038-49cd9bc4d14d, bd80ac1a-657d-4d70-90e0-665f1b122d77, 83f1d056-8ef8-4c7f-b97e-a5162d69cc76, 79598c9d-e974-4e98-89c5-ecac72764df8, 03ecd17e-ba61-40b6-b2ae-8512d0ce2a56, 119c9adf-4965-4b5f-bf46-4f5579618223, 67544388-0cab-4069-a665-5deae9871f00, 95a2a810-c492-40f3-9048-7a77890c0f83, fbf858ad-23c8-4c8b-ac5d-3637d47a8d76"
FW13,c55aeb2f-d341-428a-bfd9-9499ad2bb1ea,"b747dff5-3e7e-489e-812c-dbe628ef76b4, 8ed52392-7174-4242-b7ca-8489654fb674, baac5c47-8248-4e89-8848-980da9c60e84, 85dec4fc-ef82-4a89-94a3-4980e2d31461, 2f7b0d16-fc66-4b6f-b147-54e079744514, fa7f9eec-b6a8-4156-94c1-ae48669638d0, fda87362-26e9-4b01-8350-4e2ea5b592a2, ed08ae26-b6de-4e60-ab0f-99cb76624ebf, 5f2ea61e-2e07-4b4f-b9e8-97e19f084cc6, 66a04d19-66fe-483b-abf1-06adcec13235, 8b2b5069-1d38-463e-b12c-65bb0fb32889, 850c2075-49a0-42fc-b593-177988db9ba1, 21307e85-f2f9-4701-9def-0e6d06d0c410, df46ba3f-3f5e-466a-81de-5ada0854ad9e, cfca4d15-2eda-4dcd-913f-c0ce495ebc23, a25403b3-549a-493d-ac67-718b91e1b5bd, df40437f-b908-4068-be01-eb5f8a6531a8, 9512888d-1cbc-457a-9afb-5246497dd38d"
FW17,727b4436-ea34-4aa6-abc4-6a2b996d8d74,"b59d549d-0328-48f9-afbd-d2efb0cfab82, 0b34bb20-9cfb-4b7e-b2a6-6f6b410d053e, 2f945685-4510-4482-88e3-1a9e2ba13f5d, 0683492e-9edb-485e-898e-32a605af7863, ba7d6ff2-b098-4194-93b9-d52e1c11842a, 7196dc00-e7d1-47b3-bc97-c9278c782ed6, 750e2aae-e7b1-4485-90c1-f91556aa5689, a1fa3abb-4cc3-4c9e-a289-6403b6661966, 3e00bd5f-c7fc-4284-86c1-241d11ecddef, d396fd76-e499-441e-b22a-e36b54b224c3, b7dff508-38b0-4647-9c9d-04574d665557, b2020805-9369-4361-8daf-369c4bd85c9e, bdd6f8c9-c60a-490f-9557-960ae412d1bb, 0360a376-3b0b-4055-8a15-0bf6c3abbf95, f154f6f0-2eba-4e9c-a13b-0fc7c8610aaa, 6c83f527-585c-4b8a-96b6-8c59fe760342"
FW14,1ece5de9-8904-4775-9b5c-2674c93e669e,"4d0a4041-3ca2-4f60-8100-7d2519a93088, 4d2d5eca-40ec-4e4a-b7ae-5a664a8bab5c, e013f1a0-a8e1-459c-99d4-06fe0da09203, eef71e84-2938-4806-a375-78accccee98b, 1c988fab-cd01-4514-82da-45a2c0e4db65, 0bc48de6-5ede-4c3b-bf0c-e54d69b237b7, 7d25db1a-69a5-4d57-8492-c9cc76d02fac, d2117c97-68f9-4370-b87e-9db9668ae4a9, 7c0bc717-c089-43f0-8d61-44bf9cd3e8a4, c3d5cbc8-9a7d-48b5-a592-ac1af76498af, 61d94c30-1cca-499f-85bd-c2d1f78fdeb1, d119ad4b-035e-428d-94bb-fd39e12cb4a2, 5d1ec709-43c0-40fb-826e-f4f04217b975, 51069385-b7df-46b2-98a0-d6bbf96cb04b, d8f197f1-2221-478f-b2dd-e075cedfebf1, f2dd56d4-09fa-4537-a5ca-b02c625f4e91"
FW22,68c140e1-5750-45a5-94f6-0067210f7a11,"88be5735-4307-4b65-ac59-165b7935f9db, a69ba78e-7408-4b76-aef7-d92a5f29f363, 2b4688e6-2c3f-482a-ae08-e18c6a569161, 47d3bd5c-4808-4ebd-b7da-aba6cafcee8d, da93a0ca-f7cf-47ab-9544-b976e295981a, 0c5e76ba-b21f-442c-90dc-b1a9607231b0, c39a94de-8641-4669-8fec-f03f9fc3b760, a936ce19-775a-496d-8dc5-20c8c3c07fcf"
FW25,c684c86b-3f22-403a-8686-0d76fad26d86,"1a16f61b-ba36-4bd9-b13a-30313e602c56, 857afe03-739d-4e1a-968e-cb7fc224334f, f3e15189-71e5-4f67-b2ea-e33f0cb86b8d, 85cfc1ba-ec1d-40a8-a844-7af78b00eaec, faa2ec73-432c-4c0d-9799-7b1fe1f20dfa, f9b276df-271f-44ca-b1e5-f6c3bdde493f, fad7d83e-295b-42e7-8d78-6d292ed17255, d0d5d512-8f3d-4b3d-9273-2d7986cb8901, 2db22dfa-aa32-4ab6-8b67-d0c7d97da325, dcc92695-39e1-4a5b-b893-d7d85a6b6e1f, d6b25431-2c5f-4f6a-9bc3-93eae50d52e2"
FW26,dd9fbd14-b573-4ecc-9f2d-315249decaf5,"ea624a4e-529c-474e-9bff-982400c32981, 17cad0ed-fea3-4f87-aecb-4f0483be75c1, db5225ba-97a2-4edc-9454-89d58e7c9c52, 4de2612d-87df-444b-9f30-1d23cc02bbf9, 4537b36a-3e72-4a6a-bd15-d3147c31aec3, 1270264d-7756-45c4-a8e9-bd6f8c3954ac, c8b2e42a-2404-4ff5-b0ed-94c281b1be9c"
