itemId                               ,supplierId                                                                       ,cost    ,Quantity
00e69a71-6f33-458d-8007-7eca8e56562e ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,67.6    ,1
00e6ea0b-a96e-4ecb-88b0-c9a5797ede39 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,165     ,1
00ecbfc0-7b3a-4645-8fdf-85f1027d1907 ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,70      ,1
00ecded5-c7d9-41db-a3e6-adc4b47239f1 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,36      ,1
00eee231-439c-441b-a9b3-6e7ac0acb7a1 ,b192a7ca-c398-48df-ae3d-14b44dad2533                                             ,2.35    ,1
00f2c610-fbf9-4a7f-ad29-04371f8ad987 ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,39.6    ,1
00f433b7-e2cb-498b-b815-3ecbfd2fa877 ,ff02d777-7a10-4583-a4bc-1be214bcfdf6                                             ,101.28  ,1
00f6636f-0776-4732-a9b7-d78e07e676cc ,beeb51ed-3932-4d9e-8efa-d73ca372ee52                                             ,15.2    ,1
00fd58bf-c7c7-4164-8f49-bc8aafff4af3 ,857ba24d-4adf-4ebd-8291-b9062d6534da                                             ,368.55  ,1
0108caa7-37b1-4d7c-810e-cf6ab8faa430 ,66863d57-51f4-4f49-bd8d-911ce9ed5dd6                                             ,97.6    ,1
010b9247-c726-4e38-a4e6-c82308056cc5 ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,15.28   ,1
01190690-ae29-49db-8ae1-9aaf951f53ae ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,165     ,1
0121276a-2b4f-451e-b3e1-d28daf45d135 ,31285d39-b162-4746-99c5-80cd9579e880                                             ,12.5    ,1
012d7420-32a2-4028-b414-5d0cee3e370d ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,68.75   ,1
0130f964-7c48-4734-80e9-6a50b2ad96bd ,575b5b90-bc37-4071-87d6-123fc2b58737                                             ,55      ,1
0135bc79-ad5f-457d-93a6-a976ae6a68c4 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,26      ,1
0135db4b-227a-4d73-b032-79b79cb4faf2 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,84      ,1
01376d70-13bb-4f04-8e40-a80d62fd7259 ,ff02d777-7a10-4583-a4bc-1be214bcfdf6                                             ,4.2     ,1
0138c5c5-9ba4-4418-a319-289166e80c63 ,d9ab6cbc-2a2f-4ff4-af32-8c3e0abb716a                                             ,0.51    ,1
013d2c0c-fa43-47f1-821e-62f742ef344c ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,48      ,1
0140cbe7-bbef-429e-93c6-4d84b4ac2806 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,16.66   ,1
01417ec8-d975-41eb-a12a-18ec681825b8 ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,45.5    ,1
0150f357-f7ce-4af3-b767-2ed7ed8da1a9 ,d9ab6cbc-2a2f-4ff4-af32-8c3e0abb716a                                             ,1.1     ,1
01526efd-5101-4d70-b321-5dfd1dce433c ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,194     ,1
015c9193-149b-4dd3-9375-7e4b564e5810 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,13.33   ,1
