itemId,sku,format,status
0097b211-fcce-42ae-a1bb-02d5396a1a28,IN14-MS010,0,0
00990b5f-3c1e-4bee-a7b4-b29beca50eb4,IN14-D0313,0,1
009ca06f-5efe-4486-9866-69b4e67fb995,PO1-CORVINA,0,0
009e8a09-0c33-4ae4-a0f7-48b64cb6a89b,EG1-49464,0,1
00a34b2d-8341-4669-950e-4092d6e968f8,EL2-KINSALE_WALL,0,1
00a3bde6-0e83-42b4-b8a9-4e27a9924f71,DA2-DAN1238,0,1
00a3fb6d-e455-475d-89dd-f0cdb0e1ab61,EL2-FE/MADDISON1BATH,0,1
00a6925c-a609-420b-8c57-42dadbc61d85,KA3-10928/8F-CH + WHT SHD,0,0
00a6d0d3-02e9-43b1-a542-5daa79825b67,AS1-1292003,0,1
00a942b0-91c2-41f3-a74a-f0f3f34f0777,DA2-YOK0164,0,1
00ab57e7-eca7-4792-8065-b142a2bb7bd8,IN14-IL31052,0,1
00ab92a9-4769-4bf5-a8b3-5bfe5c7b9f11,EL2-HK-CONGRESS-P-A-BC,0,1
00ae3521-0dc3-4471-9e2a-9672212f7356,EN2-ORB2493,0,0
00af35d4-dba9-4f1a-ad04-ca07c1648896,AS1-1186001,0,1
00b1914f-258f-43d8-8718-3659d4207375,MC1-TL64-BESPOKE CLARKE PASSIFLORA CHARCOAL (CHAMP),0,1
00b315ec-288a-499c-acc9-292b1110d49a,DA2-GRI4250,0,1
00b3b081-6d20-4a7a-be33-c203be0f3c15,EL2-FE/BOTANIC/4P,0,1
00b62ed1-3fe7-4a25-82a3-83336042ac65,KA3-9504/10P CH,0,1
00b722c4-1eb3-441e-a9ea-f4e2759efce9,IN14-M1330,0,1
00b8e15c-a949-4b19-8345-2a4b296a5d1f,CO5-WDRUM55-32-W C&C SILK ANT GOLD (ANTH. SERI MINERAL) + CO5-WIRE1,1,1
00bb0ab2-e73a-4855-9739-07b36d058bc5,IN14-D0011,0,1
00bb62aa-0b3d-4766-bdfa-ba2f3a39d2e8,SA3-ST5008W,0,0
00bccc79-b628-4950-aeab-ea79c7644814,IN14-IL31393,0,1
00bdb02d-638c-409a-a831-17da14992aa5,CO5-WDRUM60-32-W KOBE CHACAR 7 WHITE PEPPER (ANTH SERI BLOOD ORANGE) LAMP,0,1
00bdee53-f7ec-408f-9651-b25088ea3f76,CO5-DRUM45-DES-F WIND LIMOGES MULTI (KOBE CHACAR 2 CUMIN 85) PEND,0,1
00bfc7fc-667a-4314-a656-6ff5ecbd1805,EL2-SILVERTHISTLE-TL,0,0
00c02942-cad7-483a-8d11-f7a56fe6b4a7,IN14-ILS10621,0,1
00c06500-6389-4e3c-ab14-72940db47eb9,LI4-701441,0,0
00cba6e9-04d0-43d1-a73e-577c3b08d90f,AS1-1368003,0,1
00cfc4e8-0745-4617-9a4e-8dc735281875,DA2-RON0939,0,1
00d133d3-7f45-470b-afe8-606eeff53831,HI1-20419,0,1
00d23b03-52f0-4a8f-83bb-930da63345be,MS1-4661CH,0,0
00d26497-38b7-4fce-bef8-e5f2dd1cfeee,PO1-60180,0,0
00d2ed2e-aa88-4fc8-afe0-ab559adbbbd1,EG1-30206,0,1
00d30494-c72b-485a-98a9-9421b710d666,LF1-06079,0,0
00d3297a-ca37-43cf-a014-98db30868631,UN4-W49AB,0,0
00d59962-25f6-4436-ad15-ca1d5948be80,DA2-ZUT16XX-GD,0,1
00d68f51-db15-467b-a218-c60540095a78,DA2-ROH0715-BRZ,0,1
00d81f80-28dd-42c9-b2e5-5f2d5391a513,LF1-05083,0,0
00dc27af-f29a-4df3-9217-c98ba0033a79,FI1-3711AB,0,1
00dc44d6-8bf5-49d5-aa9e-626c84f479ad,SE2-MOOR018AC1PEND,0,1
00dc7b6e-8e34-4927-b7bf-5e8b9632550b,FI1-7635RBK,0,1
00dd80c3-36e1-49c7-871d-96c24a79eb85,PO1-68959,0,1
